GN	version	status	genes	n_codes	label
GN001	1.0.0	None		28	Standards and guidelines for the interpretation of sequence variants: a joint consensus re
GN002	2.0.0	Released	MYH7	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN003	3.2.0	Released	PTEN	31	ClinGen PTEN Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guidelines
GN004	1.0.0	Released	SHOC2;NRAS;RAF1;SOS1;SOS2;PTPN11;KRAS;MAP2K1;HRAS;RIT1;MAP2K2;BRAF	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN005	2.0.0	Released	CDH23;COCH;GJB2;KCNQ4;MYO6;MYO7A;SLC26A4;TECTA;USH2A	28	ClinGen Hearing Loss Expert Panel Specifications to the ACMG/AMP Variant Interpretation Gu
GN006	2.0.0	Approved For Release	PAH	28	ClinGen Phenylketonuria Expert Panel Specifications to the ACMG/AMP Variant Interpretation
GN007	3.1.0	Released	CDH1	28	ClinGen CDH1 Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guidelines
GN008	3.1.0	Released	RUNX1	28	ClinGen Myeloid Malignancy Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN009	2.4.0	Released	TP53	31	ClinGen TP53 Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guidelines
GN010	2.0.0	Released	GAA	28	ClinGen Lysosomal Storage Disorders Variant Curation Expert Panel Specifications to the AC
GN011	2.1.0	Released	ITGA2B;ITGB3	28	ClinGen Platelet Disorders Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN012	2.0.0	Released	RYR1	28	ClinGen Malignant Hyperthermia Susceptibility Expert Panel Specifications to the ACMG/AMP 
GN013	1.2.0	Pilot Rules In Prep	LDLR	28	ClinGen Familial Hypercholesterolemia Expert Panel Specifications to the ACMG/AMP Variant 
GN014	1.0.0	Released	ETHE1	28	ClinGen Mitochondrial Disease Nuclear and Mitochondrial Expert Panel Specifications to the
GN014	1.0.0	Released	PDHA1	28	ClinGen Mitochondrial Disease Nuclear and Mitochondrial Expert Panel Specifications to the
