gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	ba1_threshold	af_basis	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	ps1	ps1_splice	source_vcep	cspec_url	notes
ABCA4	AR					0.0163	0.163		not_applicable						not_applicable	applicable	noncanonical	ABCA4 Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN164	GN164 Released
ABCD1	XL					0.000017	0.00017	males	not_applicable						applicable	applicable		Peroxisomal Disorders Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN105	GN105 Released
ACADVL	AR					0.0035	0.007		not_applicable			PM1			not_applicable	applicable	noncanonical	ACADVL Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN021	GN021 Released
ACTA1	AR					0.00025	0.0025		not_applicable						applicable	applicable		Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN169	GN169 Released; multiple specs (kept conservative)
ACTC1	AD					0.0001	0.001		not_applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN101	GN101 Released
ACVRL1	AD					0.002	0.01		not_applicable					no	not_applicable	applicable		Hereditary Hemorrhagic Telangiectasia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN135	GN135 Released
ADA	AR					0.00161	0.00721		not_applicable						applicable	applicable	noncanonical	Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN114	GN114 Released
AIPL1	AR					0.00057	0.0057		not_applicable						applicable	applicable	noncanonical	Leber Congenital Amaurosis/early onset Retinal Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN208	GN208 Released; BS1: multiple cutoffs in desc — verify
AKT3						0.000185	0.000926		applicable					no	applicable	applicable		Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
ANO5	AR					0.001	0.003		not_applicable						not_applicable	applicable	noncanonical	Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN188	GN188 Released
APC						0.00001	0.001		not_applicable		ge				applicable	applicable	noncanonical	InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN089	GN089 Released
ATM	AD,AR					0.0005	0.005		not_applicable				Supporting		not_applicable	applicable	noncanonical	Hereditary Breast, Ovarian and Pancreatic Cancer Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN020	GN020 Released
BMPR2	AD					0.001	0.01		applicable	PM2,PP3					applicable	applicable	noncanonical	Pulmonary Hypertension Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN125	GN125 Released
BRAF	AD					0.00025	0.0005		applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN049	GN049 Released; multiple specs (gene-specific kept)
BRCA1	AD					0.0001	0.001		not_applicable						applicable	applicable	noncanonical	ENIGMA BRCA1 and BRCA2 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN092	GN092 Released
BRCA2	AD					0.0001	0.001		not_applicable						applicable	applicable	noncanonical	ENIGMA BRCA1 and BRCA2 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN097	GN097 Released
CAPN3	AR					0.001	0.003		not_applicable						not_applicable	applicable	noncanonical	Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN187	GN187 Released
CDH1						0.001	0.002		not_applicable				Supporting		applicable	not_applicable		Gastric Cancer Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN007	GN007 Released
CDH23						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
CDKL5	XL					0.0000083	0.000083		not_applicable		ge			no	applicable	applicable		Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN034	GN034 Released; multiple specs (gene-specific kept)
COCH						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
CTLA4	AD					0.00000111	0.0000111		not_applicable					no	not_applicable	applicable	noncanonical	Antibody Deficiencies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN122	GN122 Released
CYP1B1	AR					0.01	0.05		not_applicable						not_applicable	applicable	noncanonical	Glaucoma Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN104	GN104 Released
DCLRE1C	AR					0.00078	0.00346		not_applicable						applicable	applicable	noncanonical	Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN116	GN116 Released
DICER1	AD					0.0003	0.003		not_applicable		ge	PM1,PS1		no	applicable	applicable	noncanonical	DICER1 and miRNA-Processing Gene Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN024	GN024 Released
DNM2	AD					0.00000015	0.0000015		applicable						applicable	applicable		Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN148	GN148 Released
DYSF	AR					0.001	0.003		not_applicable						not_applicable	applicable	noncanonical	Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN180	GN180 Released
ENG	AD					0.002	0.01		not_applicable					no	not_applicable	applicable		Hereditary Hemorrhagic Telangiectasia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN136	GN136 Released
ETHE1						0.0002	0.001		not_applicable					no	applicable	applicable		Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
F8	XL					0.0000333	0.000333		not_applicable						applicable	applicable	noncanonical	Coagulation Factor Deficiency Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN071	GN071 Released
F9	XL					0.00000556	0.0000556		not_applicable						applicable	applicable	noncanonical	Coagulation Factor Deficiency Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN080	GN080 Released
FBN1						0.00005	0.001		applicable					no	not_applicable	applicable	noncanonical	FBN1 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN022	GN022 Released
FOXG1	AD					0.0000083	0.000083		not_applicable		ge			no	applicable	applicable		Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN035	GN035 Released; multiple specs (gene-specific kept)
FOXN1	AD					0.00141	0.00447		not_applicable						not_applicable	applicable	noncanonical	Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN113	GN113 Released
