gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	bs1_strength	bs1_exclude	ba1_threshold	af_basis	pm2_threshold	pm2_strength	pm2_basis	pm2_subpop	pm2_zygosity	pm2_subset	pm2_min_depth	pm4	pm4_supporting_max_aa	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	bs2_count	bs2_strength	bs2_female_only	bs2_hom_only	pvs1	ps1	ps1_splice	ps1_max	ps1_paralog_group	ps1_paralog_strength	bp1	bp1_target	bp1_exclude	bp1_strength	bp1_no_splice	bp3	bp3_regions	bp7_phylop	bp7_intronic	bp4_splice_cutoff	bp7_splice_cutoff	revel_pp3_supporting	revel_pp3_moderate	revel_pp3_strong	revel_bp4_supporting	revel_bp4_moderate	revel_bp4_strong	source_vcep	cspec_url	notes
ABCA4	AR					0.0163	Strong		0.163		0.0001							applicable	1	not_applicable				Moderate		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable						0.644	0.772		0.29	0.184		ABCA4 Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN164	GN164 Released
ABCD1	XL					0.000017	Strong		0.00017		0.0000017				hemi:0			applicable		not_applicable				Moderate		applicable	11				applicable	applicable	canonical				not_applicable					not_applicable		na				0.85			0.5			Peroxisomal Disorders Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN105	GN105 Released
ACADVL	AR					0.0035	Strong		0.007		0.001							applicable		not_applicable			PM1	Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable						0.75			0.5			ACADVL Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN021	GN021 Released
ACO2	AD																																																					Optic Nerve Atrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN211	GN211 Classification Rules In Prep
ACTA1	AR					0.00025	Strong		0.0025		0							applicable		not_applicable				Strong		not_applicable					not_applicable	applicable					not_applicable					not_applicable						0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN169	GN169 Released; multiple specs (kept conservative)
ACTC1	AD					0.0001	Strong		0.001		0.00004		faf	ci95				applicable		not_applicable			PM1	Moderate		not_applicable					not_applicable	applicable					not_applicable					not_applicable			donor:7,acceptor:-4			0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN101	GN101 Released
ACVRL1	AD					0.002	Strong		0.01		0.00004							applicable		not_applicable				Strong	no	not_applicable					applicable	applicable					not_applicable					not_applicable						0.644			0.15			Hereditary Hemorrhagic Telangiectasia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN135	GN135 Released
ADA	AR					0.00161	Strong		0.00721		0.0001742		faf		hom:0			applicable		not_applicable				Strong		applicable				1	applicable	applicable	canonical				not_applicable					not_applicable		na										Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN114	GN114 Released
AIPL1	AR					0.00057	Strong		0.0057		0.0004							applicable	1	not_applicable				Moderate		applicable	3	Strong:6,Supporting:3		1	applicable	applicable	canonical				not_applicable					not_applicable		na				0.644			0.29	0.183		Leber Congenital Amaurosis/early onset Retinal Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN208	GN208 Released; BS1: multiple cutoffs in desc — verify
AKT3						0.000185	Strong		0.000926		0							not_applicable		applicable				Moderate	no	applicable	3				not_applicable	applicable					not_applicable					not_applicable		0.1	noncanonical									Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
