gene	inheritance
A2M	AD
A2ML1	AD
AAAS	AR
AAGAB	AD
AARS1	AD/AR
AARS2	AR
AASS	AR
ABAT	AR
ABCA1	AD/AR
ABCA12	AR
ABCA2	AR
ABCA3	AR
ABCA4	AD/AR
ABCA5	AR
ABCB1	AD/AR
ABCB11	AR
ABCB4	AD/AR
ABCB6	AD
ABCB7	XL
ABCC1	AD
ABCC11	AD
ABCC2	AD/AR
ABCC6	AD/AR
ABCC8	AD/AR
ABCC9	AD/AR
ABCD1	XL
ABCD3	AR
ABCD4	AR
ABCG5	AR
ABCG8	AR
ABHD12	AR
ABHD16A	AR
ABHD5	AR
ABL1	AD
ACACA	AR
ACAD8	AR
ACAD9	AR
ACADM	AR
ACADS	AR
ACADSB	AR
ACADVL	AR
ACAN	AD
ACAT1	AR
ACBD5	AR
ACBD6	AR
ACD	AD/AR
ACE	AR
ACER3	AR
ACKR3	AR
ACO2	AR
ACOX1	AD
ACOX2	AR
ACP4	AR
ACP5	AR
ACR	AR
ACSF3	AR
ACSL4	XL
ACTA1	AD/AR
ACTA2	AD
ACTB	AD
ACTC1	AD
ACTG1	AD
ACTG2	AD
ACTL6B	AD/AR
ACTL7A	AR
ACTL9	AR
ACTN1	AD
ACTN2	AD
ACTN3	AR
ACTN4	AD
ACVR1	AD
ACVR2B	AD
ACVRL1	AD
ACY1	AR
ADA	AR
ADA2	AR
ADAM10	AD
ADAM17	AR
ADAM22	AR
ADAM9	AR
ADAMTS10	AR
ADAMTS13	AR
ADAMTS15	AR
ADAMTS17	AR
ADAMTS18	AR
ADAMTS19	AR
ADAMTS2	AR
ADAMTS3	AR
ADAMTSL2	AR
ADAMTSL4	AR
ADAR	AD/AR
ADARB1	AR
ADAT3	AR
ADCY1	AR
ADCY10	AD
ADCY3	AR
ADCY5	AD/AR
ADCY6	AR
ADD3	AR
ADGRE2	AD
ADGRG1	AR
ADGRG2	XL
ADGRG6	AR
ADGRL1	AD
ADGRV1	AR
ADIPOQ	AD
ADK	AD
ADNP	AD
ADPRS	AR
ADRA2A	AD
ADRA2B	AD
ADRA2C	AD
ADRB1	AD
ADRB2	AD
ADSL	AR
ADSS1	AR
AEBP1	AR
AFF2	XL
AFF3	AD
AFF4	AD
AFG3L2	AD/AR
AFP	AD/AR
AGA	AR
AGBL1	AD
AGBL5	AR
AGK	AR
AGL	AR
AGMX2	XL
AGO1	AD
AGO2	AD
AGPAT2	AR
AGPS	AR
AGRN	AR
AGRP	AR
AGT	AR
AGTPBP1	AR
AGTR1	AR
AGTR2	XL
AGXT	AR
AGXT2	AR
AHCY	AR
AHDC1	AD
AHI1	AR
AHR	AR
AHSG	AR
AICDA	AR
AIFM1	XL
AIMP1	AR
AIMP2	AR
AIP	AD
AIPL1	AD/AR
AIRE	AD/AR
AK1	AR
AK2	AR
AK7	AR
AK9	AR
AKAP3	AR
AKAP9	AD
AKR1C2	AR
AKR1D1	AR
AKT1	AD
AKT2	AD
AKT3	AD
ALAD	AR
ALAS2	XL
ALB	AD/AR
ALDH18A1	AD/AR
ALDH1A2	AR
ALDH1A3	AR
ALDH3A2	AR
ALDH4A1	AR
ALDH5A1	AR
ALDH6A1	AR
ALDH7A1	AR
ALDOA	AR
ALDOB	AR
ALG1	AR
ALG11	AR
ALG12	AR
ALG13	XL
ALG14	AR
ALG2	AR
ALG3	AR
ALG5	AD
ALG6	AR
ALG8	AR
ALG9	AR
ALK	AD
ALKBH8	AR
ALMS1	AR
ALOX12B	AR
ALOX5	AD
ALOXE3	AR
ALPK1	AD
ALPK3	AD/AR
ALPL	AD/AR
ALS2	AR
ALS2CL	AD
ALX1	AR
ALX3	AR
ALX4	AD/AR
AMACR	AR
AMBN	AR
AMCN	AR
AMELX	XL
AMER1	XL
AMFR	AR
AMH	AR
AMHR2	AR
AMMECR1	XL
AMN	AR
AMPD1	AR
AMPD2	AR
AMPD3	AD/AR
AMT	AR
AMTN	AD
ANAPC1	AR
ANAPC7	AR
ANG	AD
ANGPT1	AD
ANGPT2	AD
ANGPTL3	AR
ANK1	AD/AR
ANK2	AD
ANK3	AR
ANKH	AD
ANKLE2	AR
ANKRD11	AD
ANKRD17	AD
ANKRD26	AD
ANKS6	AR
ANLN	AD
ANO1	AD/AR
ANO10	AR
ANO3	AD
ANO5	AD
ANO6	AR
ANOS1	XL
ANTXR1	AD/AR
ANTXR2	AR
